item_id,status,sku,price,qty_ordered,grand_total,increment_id,category_name_1,discount_amount,payment_method,Working Date,BI Status, MV ,Customer ID
211133,canceled,kcc_Buy 2 Frey Air Freshener & Get 1 Kasual Body Spray Free,240,1,240,100147444,Beauty & Grooming,0,cod,7/1/2016,Gross,240,2
211134,canceled,Ego_UP0017-999-MR0,2450,1,2450,100147445,Women's Fashion,0,cod,7/1/2016,Gross,"2,450",3
211135,complete,kcc_krone deal,360,1,60,100147446,Beauty & Grooming,300,cod,7/1/2016,Net,360,4
211136,order_refunded,BK7010400AG,555,2,1110,100147447,Soghaat,0,cod,7/1/2016,Valid,"1,110",5
211137,canceled,UK_Namkino All In One 200 Gms,80,1,80,100147448,Soghaat,0,cod,7/1/2016,Gross,80,6
211138,complete,kcc_krone deal,360,1,60,100147449,Beauty & Grooming,300,cod,7/1/2016,Net,360,7
211139,complete,UK_Namkino Mix Nimco 400 Gms,170,1,170,100147450,Soghaat,0,cod,7/1/2016,Net,170,6
211140,canceled,Apple iPhone 6S 64GB,96499,1,96499,100147451,Mobiles & Tablets,0,ublcreditcard,7/1/2016,Gross,"96,499",8
211141,canceled,Apple iPhone 6S 64GB,96499,1,96499,100147452,Mobiles & Tablets,0,mygateway,7/1/2016,Gross,"96,499",8
211142,complete,"GFC_Pedestal Myga Cross Base (Special Guard) 24""",5500,1,5500,100147453,Appliances,0,cod,7/1/2016,Net,"5,500",9
211143,received,BK1070200PL,210,1,366,100147454,Soghaat,0,cod,7/1/2016,Valid,210,10
211144,received,BK1130200CF,156,1,366,100147454,Soghaat,0,cod,7/1/2016,Valid,156,10
211145,complete,kcc_Sultanat,120,1,120,100147455,Home & Living,0,ublcreditcard,7/1/2016,Net,120,11
211146,complete,kcc_glamour deal,320,1,0,100147456,Beauty & Grooming,0,customercredit,7/1/2016,Net,320,12
211147,canceled,Assetmen_MD-346-M,1550,1,1550,100147457,Men's Fashion,0,ublcreditcard,7/1/2016,Gross,"1,550",11
211149,complete,cr_DATES WITH CASHEW-400 GM,420,1,1270,100147458,Soghaat,0,cod,7/1/2016,Net,420,13
211150,complete,UK_Gift Box Mix Dry Fruit Sweets 500 Gms,360,1,1270,100147458,Soghaat,0,cod,7/1/2016,Net,360,13
211151,complete,itter_AB 1199,490,1,1270,100147458,Beauty & Grooming,0,cod,7/1/2016,Net,490,13
211152,canceled,RL_B005,899.25,1,2118.25,100147459,Home & Living,0,cod,7/1/2016,Gross,899,14
211153,canceled,bed&rest_S7,899,1,2118.25,100147459,Home & Living,0,cod,7/1/2016,Gross,899,14
211154,canceled,L&L_LLHLE8224S,320,1,2118.25,100147459,Home & Living,0,cod,7/1/2016,Gross,320,14
211155,complete,J&J_JJR-4,149,1,298,100147460,Kids & Baby,0,cod,7/1/2016,Net,149,15
211156,complete,J&J_JJR-20,149,1,298,100147460,Kids & Baby,0,cod,7/1/2016,Net,149,15
211158,order_refunded,Mochika_M0001112-12,1913,1,3826,100147462,Men's Fashion,0,cod,7/1/2016,Valid,"1,913",17
211160,order_refunded,Mochika_M0001112-8,1913,1,3826,100147462,Men's Fashion,0,cod,7/1/2016,Valid,"1,913",17
211162,complete,SKMT_Blood Test,500,1,0,100147463,Others,0,customercredit,7/1/2016,Net,500,16
211163,complete,SKMT_Medicine,100,5,0,100147463,Others,0,customercredit,7/1/2016,Net,500,16
211164,canceled,sputnik_701/5-11,1500,2,3000,100147464,Men's Fashion,0,cod,7/1/2016,Gross,"3,000",18
211166,complete,Ctees-Black Zip- Up Hoodie-XL,450,1,450,100147465,Kids & Baby,0,cod,7/1/2016,Net,450,19
211168,complete,Samsung Galaxy J5,20999,1,20999,100147466,Mobiles & Tablets,0,cod,7/1/2016,Net,"20,999",20
211169,complete,kcc_krone deal,360,1,360,100147467,Beauty & Grooming,0,cod,7/1/2016,Net,360,20
211170,refund,Veet_4,165,1,300,100147468,Beauty & Grooming,82.5,cod,7/1/2016,Valid,165,21
211171,refund,RS_Gulab jaman Tin,435,1,300,100147468,Soghaat,217.5,cod,7/1/2016,Valid,435,21
211172,canceled,cr_PEANUT SALTY-200 GM,90,1,940,100147469,Soghaat,0,cod,7/1/2016,Gross,90,22
211173,canceled,Oriflame_21557,850,1,940,100147469,Beauty & Grooming,0,cod,7/1/2016,Gross,850,22
211174,complete,JBS_TAT-128,3672,1,3672,100147470,Home & Living,0,cod,7/1/2016,Net,"3,672",23
211175,complete,cr_PEANUT SALTY-200 GM,90,1,740,100147471,Soghaat,19.15,cod,7/1/2016,Net,90,22
211176,complete,Oriflame_21557,850,1,740,100147471,Beauty & Grooming,180.85,cod,7/1/2016,Net,850,22
211177,order_refunded,Ajmery_BRR-590-M,899,1,899,100147472,Men's Fashion,0,cod,7/1/2016,Valid,899,24
211179,canceled,HOS_GUCFW75,7400,1,11000,100147473,Beauty & Grooming,0,mygateway,7/1/2016,Gross,"7,400",25
211180,canceled,Lexon_LL116B-Blue,3600,1,11000,100147473,Mobiles & Tablets,0,mygateway,7/1/2016,Gross,"3,600",25
211182,complete,kcc_Fantasy Perfumed Talcum Powder-200gm,143,1,168,100147474,Beauty & Grooming,77.72,cod,7/1/2016,Net,143,22
211184,complete,2Zee_SC6,225,1,168,100147474,Beauty & Grooming,122.28,cod,7/1/2016,Net,225,22
211185,complete,Q MOBILE Noir X20,4500,1,4500,100147475,Mobiles & Tablets,0,cod,7/1/2016,Net,"4,500",26
211186,canceled,rehaab_RJ160047,3156,1,6152,100147476,Women's Fashion,0,cod,7/1/2016,Gross,"3,156",27
211187,canceled,Farah_3-B,2996,1,6152,100147476,Women's Fashion,0,cod,7/1/2016,Gross,"2,996",27
211188,canceled,RS_Sohan Halwa Tin,300,2,2210,100147477,Soghaat,0,cod,7/1/2016,Gross,600,28
